S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
178,AMD,Compiler Engineer,Mid-Senior level,64,86,Semiconductors, Engineering Information Technology ,C++ C/C++
179,Tracxn,Tracxn - SDE II - Front End - React.js (1-5 yrs) Bangalore (Frontend Developer),Entry level,,NA,Venture Capital & Private Equity, Engineering Information Technology ,Java Python Node.js ReactJS Spring SQL Angular React NodeJS
180,GRACE System Technology Labs,ELK and Python Framework developer,Entry level,4,NA,Information Technology & Services, Engineering Information Technology ,Java Python
181,Mastercard,Software Development Engineer in Test II-1,Entry level,1,19,Information Technology & Services, Engineering Information Technology ,
182,WeCP (We Create Problems),Fullstack Developer,Associate,,NA,Computer Software, Engineering Information Technology ,Python Node.js ReactJS AngularJS JavaScript AngularJS Angular React NodeJS
183,EdgeCompute,Senior Software Engineer,15 applicants,10,NA,Information Technology & Services, Engineering Information Technology ,
184,Jupiter,"Senior Software Engineer, Data Science",Mid-Senior level,,NA,Banking, Engineering ,Java Scala
185,Vamstar,Senior Software Engineer,42 applicants,6,8,Hospital & Health Care, Engineering Information Technology ,Node.js React
186,Laurus Labs Limited,Software Developer - Javascript/Python/C++ (0-2 yrs) Delhi (Backend Developer),Entry level,,NA,Pharmaceuticals, Engineering Information Technology ,Python C++ SQL JavaScript
187,DISH Network,Java Developer(Telecom + Java+Spring Boot XML/JSON),336 applicants,5,7,Telecommunications, Engineering Information Technology ,Java Spring
188,Antares Systems Limited,Software Engineer,Entry level,5,NA,Information Technology & Services, Engineering Information Technology ,Oracle Java CSS SQL JavaScript
189,CVM,Database Developer,Mid-Senior level,5,6,Information Technology & Services, Information Technology ,Python SQL
190,Ceequence Technologies,6d Technologies - Big Data Developer - Python/AWS/Apache Flink (4-6 yrs) Bangalore (Analytics & Data Science),Entry level,4,NA,Outsourcing/Offshoring, Engineering Information Technology ,Spark Python SQL
191,Recko Inc.,Data Engineer,Mid-Senior level,2,2,Computer Software, Engineering ,Oracle PostgreSQL Spark Java Python NA SQL
192,Zinnov,Senior Backend Developer - Golang,42 applicants,5,NA,Management Consulting, Engineering Information Technology ,Golang SQL
193,DXC Technology,Professional 2 Programmer Analyst (51005797),Mid-Senior level,,NA,Information Technology & Services, Engineering Information Technology ,
194,DAUND SUGAR PRIVATE LIMITED,Computer Programmer,Entry level,,NA,NA, Engineering Information Technology ,Oracle
195,Nanoheal,Nanoheal - Software Engineer - DevOps/Docker/Kubernetes (4-10 yrs) Bangalore,Entry level,,NA,Computer Software, Engineering Information Technology ,Java Python Node.js SQL Ruby PHP
196,"DigiCert, Inc.",Software Engineer,Associate,3,NA,Computer & Network Security, Engineering Information Technology ,Java ReactJS Spring Hibernate SQL JavaScript NodeJS
197,Wisflux Tech Labs,Software Engineer,Associate,,NA,Information Technology & Services, Engineering Information Technology ,Node.js JavaScript Angular React
198,Living Food Company,Frontend Developer,Associate,,NA,Food & Beverages, Engineering Information Technology Product Management ,CSS Angular React
199,Resemble Systems,Senior Java Developer,Associate,5,NA,Information Technology & Services, Engineering Information Technology ,Java Spring
200,Quality Staffing Services,Engineering Manager//Customer Engineer-Clojure,21 applicants,,NA,Staffing & Recruiting, Engineering ,Oracle PostgreSQL Java Node.js Golang SQL React Scala
201,Collins Aerospace,Lead Software Developer(Fullstack-Java/React),154 applicants,5,2,Aviation & Aerospace, Information Technology ,Oracle Java ReactJS CSS Spring SQL JavaScript
